title,artist,year,views,url
NFWMB,Hozier,2018,277394,https://genius.com/Hozier-NFWMB-lyrics
My Everything,Ariana Grande,2014,310383,https://genius.com/Ariana-Grande-My-Everything-lyrics
All You Need Is Love,The Beatles,1967,189224,https://genius.com/The-Beatles-All-You-Need-Is-Love-lyrics
Back Down,50 Cent,2003,255475,https://genius.com/50-Cent-Back-Down-lyrics
No Lie,Sean Paul,2016,365793,https://genius.com/Sean-Paul-No-Lie-lyrics
Luving U,6LACK,2016,441964,https://genius.com/6LACK-Luving-U-lyrics
No Scrubs,TLC,1999,228723,https://genius.com/TLC-No-Scrubs-lyrics
These Days,Rudimental,2018,601357,https://genius.com/Rudimental-These-Days-lyrics
Praise the Lord Da Shine,A$AP Rocky,2018,1695740,https://genius.com/AAP-Rocky-Praise-the-Lord-Da-Shine-lyrics
Paradise Extended,Big Sean,2014,825130,https://genius.com/Big-Sean-Paradise-Extended-lyrics
The Plan,G-Eazy,2017,221528,https://genius.com/GEazy-The-Plan-lyrics
Someone You Loved,Lewis Capaldi,2018,3289557,https://genius.com/Lewis-Capaldi-Someone-You-Loved-lyrics
Villuminati,J. Cole,2013,1001411,https://genius.com/J-Cole-Villuminati-lyrics
Supermarket Flowers,Ed Sheeran,2017,1898133,https://genius.com/Ed-Sheeran-Supermarket-Flowers-lyrics
Oblivion,Grimes,2012,421041,https://genius.com/Grimes-Oblivion-lyrics
Impossible,Impossible Lyrics - Travis Scott,2015,500746,https://genius.com/Impossible-Lyrics-Travis-Scott-Impossible-lyrics
Roman Holiday,Halsey,2015,254290,https://genius.com/Halsey-Roman-Holiday-lyrics
Highlights,Kanye West,2016,1162601,https://genius.com/Kanye-West-Highlights-lyrics
Wish You Were Here,Pink Floyd,1975,1884349,https://genius.com/Pink-Floyd-Wish-You-Were-Here-lyrics
RAP DEVIL,Machine Gun Kelly,2018,3307467,https://genius.com/Machine-Gun-Kelly-RAP-DEVIL-lyrics
95 Til Infinity,Joey Bada$$,2013,401240,https://genius.com/Joey-Bada-95-Til-Infinity-lyrics
Bankrupt,Cuban Doll,2017,292769,https://genius.com/Cuban-Doll-Bankrupt-lyrics
Self Control,Frank Ocean,2016,2594390,https://genius.com/Frank-Ocean-Self-Control-lyrics
Do You...,Miguel,2012,276519,https://genius.com/Miguel-Do-You-lyrics
Bambi,Jidenna,2017,453320,https://genius.com/Jidenna-Bambi-lyrics
