title;artist;year;views;url;lyric
NFWMB;Hozier;2018;353951.0;https://genius.com/Hozier-NFWMB-lyrics;"When I first saw you
The end was soon
To Bethlehem, it slouched
And then, must've caught a good look at you
Give your heart and soul to charity
'Cause the rest of you
The best of you
Honey, belongs to me
Ain't it a gentle sound, the rolling in the graves?
Ain't it like thunder under earth, the sound it makes?
Ain't it exciting you, the rumble where you lay?
Ain't you my baby, ain't you my baby?
Nothing fucks with my baby
Nothing can get a look in on my baby
Nothing fucks with my baby
Nothing, nothing, nothing, nothing
If I was born as a blackthorn tree
I'd wanna be felled by you
Held by you
Fuel the pyre of your enemies
Ain't it warming you, the world gone up in flames?
Ain't it the life of you, your lighting of the blaze?
Ain't it a waste they'd watch the throwing of the shade?"
My Everything;Ariana Grande;2014;368952.0;https://genius.com/Ariana-Grande-My-Everything-lyrics;Lyrics not found
All You Need Is Love;The Beatles;1967;267591.0;https://genius.com/The-Beatles-All-You-Need-Is-Love-lyrics;"Love, love, love
Love, love, love
Love, love, love
There's nothing you can do that can't be done
(Love) Nothing you can sing that can't be sung
(Love) Nothing you can say, but you can learn how to play the game
Nothing you can make that can't be made
(Love) No one you can save that can't be saved
(Love) Nothing you can do, but you can learn how to be you in time
All you need is love
All you need is love
All you need is love, love
Love is all you need
Love, love, love
Love, love, love
Love, love, love
All you need is love
All you need is love
All you need is love, love
Love is all you need
(Love) There's nothing you can know that isn't known
(Love) Nothing you can see that isn't shown
(Love) There's nowhere you can be that isn't where you're meant to be
It's easy
All you need is love
All you need is love
All you need is love, love
Love is all you need
All you need is love
All together now
All you need is love
All you need is love, love
Love is all you need
(Yesterday)
(She loves you, yeah, yeah, yeah)
(She loves you, yeah, yeah, yeah)
(Oh, yesterday)"
Back Down;50 Cent;2003;319322.0;https://genius.com/50-Cent-Back-Down-lyrics;"It's easy to see when you look at me
If you look closely, 50 don't back down
Everywhere I go, both coasts with toast
East side, west side, I hold that MAC down
Every little nigga you see around me
Hold a gun big enough to fucking hold Shaq down
Next time you in the hood and see a OG
You ask about me, the young boy don't back down
Any living thing that cannot co-exist with the kid
Must decease existin', little nigga, now listen (Yeah)
Your mammy, your pappy, that bitch you chasin'
Your little dirty-ass kids, I'll fucking erase 'em
Your success is not enough, you wanna be hard (Yeah)
Knowing that if you get knocked, you get fucked in the yard (Ah)
You's a Pop Tart, sweetheart, you soft in the middle (Haha)
I eat you for breakfast,
the watch was an exchange for your necklace
And your boss is a bitch, if he could he would
Sell his soul for cheap, trade his life to be Suge
the hood
Maybe I'm so disrespectful 'cause to me you're a mystery
I know niggas from your hood, you have no history (Uh-huh)
Never poked nothing, never popped nothing, nigga stop fronting
Jay put you on, X made you hot
Now you run around like you some big shot, haha (Haha), pussy
It's easy to see when you look at me
If you look closely, 50 don't back down
Everywhere I go, both coasts with toast
East side, west side, I hold that MAC down
Every little nigga you see around me
Hold a gun big enough to fucking hold Shaq down
Next time you in the hood and see a OG
You ask about me, the young boy don't back down
""The rap game is all fucked up now, what are we gonna do now?
How we gonna eat man? 50 back around""
That's Ja little punk ass thinking out loud
South side 'til I die, that's just how I get down
I'm back in the game, shawty, to rule and conquer
You sing for hoes and sound like the Cookie Monster
I'm the hardest from New York, my flow is bonkers
All the other hard niggas, they come from Yonkers
It's been years and you had the same niggas in the background
You're never gonna sell Mitsubishi Tah or Crack Child
Them niggas there just suck, they no good
I ain't never heard a nigga say they like them in the hood
I'm back, better than ever, on top of my game
Even them country boys saying, ""50 we feeling you, mane""
Now y'all stay the fuck outta my zone, outta my throne
I'm New York City's own bad guy (Bad guy)
It's easy to see when you look at me
If you look closely, 50 don't back down
Everywhere I go, both coasts with toast
East side, west side, I hold that MAC down
Every little nigga you see around me
Hold a gun big enough to fucking hold Shaq down
I ain't gon' tell nobody you pussy
I ain't gon' tell nobody you getting extorted
I've been patiently waiting to blow
Ladies and gentlemen, welcome to ""The 50 Cent Show""
You hired cops to hold you down 'cause you fear for your life
They not gon' like you
[Outro: Alex Thomas]
Oh no, he didn't say anything about Ja, okay?
Ja is my boo, okay? Jeffrey Atkins ain't never hurt nobody
And y'all know big thangs come in small packages, holla
Now everythang was cool until 50 Cent came back into the picture
They better not put they hands on Jeffrey, okay?
'Cause first of all, they do not know that I am a twelve degree pink belt, okay?
I will dice his ass up like a little piece of celery, okay?
'Cause, see, they don't know me, Delicious
Do they know me? Okay, I thought so
'Cause you know I know karate, and I will see him
And I will Jet Li his ass, wa-ta!"
No Lie;Sean Paul;2016;452964.0;https://genius.com/Sean-Paul-No-Lie-lyrics;Lyrics not found
Luving U;6LACK;2016;453244.0;https://genius.com/6LACK-Luving-U-lyrics;"Do you still scroll through them text messages?
feeling half past dead
Sitting here reflecting on what's in my head
And how I feel
I don't wanna lose myself loving you (You, you)
Loving you
You know everything 'cause I put it in my songs
If I tell you that I'm working, I ain't out doing you wrong
I got too much on my plate to add some shit that I don't need
I ain't asking you for space just some room to fucking breathe
I stand up, say, ""I had enough""
She stand up, ""Boy, you think you tough""
Take my phone, search what you want
""Who's this bitch?"", girl, that's my mom
""Who's this woman?"", girl, that's my aunt
I could be a lame nigga, that's what you want?
See you want me to be a pretty liar so bad"
No Scrubs;TLC;1999;382151.0;https://genius.com/TLC-No-Scrubs-lyrics;Lyrics not found
These Days;Rudimental;2018;637207.0;https://genius.com/Rudimental-These-Days-lyrics;"You were the light for me to find my truth
I just wanna say, thank you
Leaving to find my soul
Told her I had to go
And I know it ain't pretty
When our hearts get broke
I thought you’d end up with my last name
But that changed
I heard you moved to Austin
Got an apartment and settled down
And every once in a while, I start texting
Write a paragraph, but then I delete the message
We were gonna move to Brooklyn
You were gonna study art"
Praise the Lord Da Shine;A$AP Rocky;2018;;https://genius.com/AAP-Rocky-Praise-the-Lord-Da-Shine-lyrics;
Paradise Extended;Big Sean;2014;845952.0;https://genius.com/Big-Sean-Paradise-Extended-lyrics;"Now it don't take a lot to make you rich (To make you rich)
I'm addicted to a lot of crazy shit (I'm addicted to a lot of crazy shit, straight up)
But I feel like money is the best drug (Best drug)
Sometimes, hate can be the best love
Walkin' in like I got cameras on me
Niggas can't control me, ain't no handles on me
Shit don't get out of hand, it get handled, homie
Got a pretty young girl, look like Janet on me (Word)
She a pretty penny and she know I'm doing numbers 'til we crash up the whole database (Word)
I bring it home like I'm base to base to base (Yeah)
Closet lookin' like Planet of the Bathing Apes (Yeah)
What you think, this life just landed on me?
My whole city look like it's abandoned, homie
And we came straight out of those abandoned homies (Yeah)
Every wish we ever had got granted, homie
Back before I got paid any advances
Back when my Rollie was tickin', no dancin'
Nigga, never did I slip or I panic
Even if I was the captain of Titanic
Ridin' through the North Atlantic, homie
I never jumped crew or abandoned, homie
All the fruits of my labor organic, homie
Makin' sure my family tree got hammocks on it
And a good guy can change, 'specially if he short-changed
So fuck is my ransom, homie?
I always wanted to fuck that bitch (I always)
Thank you, God, I fucked that bitch (God)
(Uh-huh), straight up
Finally Famous, nigga (Yeah)
(
Ear Drummers
)
Aw, damn
Damn
(
Mike WiLL Made-It
)
Never throwin' money out, I boomerang it
Finally Famous over everything, that's the numerator
I was on the rooftop with my nigga Mike Carson, nigga
Shootin' that ""Too Fake"" video, my nigga, we all in
We set ourselves apart from all our apartments
Was up in Florida, no Marlins, nigga
I'm that Sean, no Marlon, nigga, uh
I'm from the D, fuck your A-list
I been workin' eight days a week, I don't even know what the fuck today is
I hit the booth and I just went Super Saiyan
I run with the purp like I play with the Ravens
These bitches rantin', ravin'
Hope I never have to go back watchin' Everybody Loves Raymond
Eating ramen, nigga, this paradise
Life's a fuckin' paradox and pair of dice
If they not rollin' with you, then they parasites, nigga"
