iter	Passed	Remaining
0	36	36548
1	70	35006
2	102	34117
3	137	34309
4	171	34153
5	203	33731
6	238	33802
7	271	33673
8	303	33419
9	337	33430
10	372	33462
11	406	33450
12	442	33602
13	479	33736
14	510	33510
15	544	33457
16	578	33449
17	643	35114
18	678	35018
19	710	34832
20	743	34660
21	777	34546
22	814	34602
23	848	34505
24	881	34394
25	914	34252
26	946	34111
27	978	33976
28	1011	33856
29	1044	33771
30	1075	33623
31	1109	33553
32	1139	33393
33	1172	33323
34	1208	33319
35	1241	33234
36	1274	33181
37	1307	33096
38	1341	33059
39	1374	32981
40	1406	32909
41	1441	32887
42	1473	32800
43	1512	32852
44	1545	32791
45	1577	32717
46	1610	32657
47	1645	32637
48	1678	32580
49	1710	32498
50	1743	32438
51	1776	32389
52	1809	32324
53	1841	32264
54	1874	32210
55	1907	32153
56	1941	32111
57	1972	32032
58	2005	31982
59	2039	31946
60	2071	31886
61	2104	31839
62	2135	31758
63	2168	31718
64	2203	31699
65	2234	31621
66	2267	31574
67	2302	31551
68	2336	31528
69	2370	31491
70	2403	31447
71	2438	31430
72	2470	31368
73	2505	31347
74	2541	31343
75	2573	31283
76	2606	31241
77	2639	31199
78	2671	31139
79	2703	31088
80	2737	31055
81	2768	30995
82	2800	30941
83	2834	30906
84	2870	30897
85	2903	30863
86	2938	30837
87	2969	30778
88	3003	30743
89	3036	30702
90	3069	30659
91	3100	30599
92	3133	30556
93	3164	30499
94	3198	30466
95	3229	30412
96	3263	30384
97	3297	30346
98	3330	30312
99	3366	30299
100	3401	30274
101	3434	30239
102	3467	30200
103	3505	30203
104	3539	30166
105	3570	30112
106	3604	30081
107	3641	30076
108	3673	30031
109	3707	29996
110	3742	29969
111	3774	29928
112	3806	29877
113	3839	29839
114	3872	29799
115	3905	29758
116	3937	29718
117	3970	29677
118	4001	29623
119	4034	29588
120	4074	29598
121	4105	29548
122	4139	29514
123	4174	29488
124	4207	29451
125	4240	29417
126	4276	29397
127	4312	29381
128	4343	29323
129	4376	29290
130	4409	29249
131	4442	29211
132	4477	29186
133	4512	29164
134	4544	29115
135	4575	29069
136	4610	29041
137	4641	28994
138	4675	28958
139	4709	28928
140	4744	28904
141	4777	28868
142	4810	28829
143	4845	28804
144	4877	28762
145	4911	28726
146	4945	28694
147	4976	28646
148	5010	28614
149	5045	28589
150	5079	28557
151	5112	28520
152	5144	28480
153	5176	28436
154	5211	28412
155	5243	28368
156	5278	28341
157	5317	28336
158	5352	28311
159	5385	28271
160	5417	28232
161	5450	28192
162	5484	28162
163	5519	28136
164	5553	28105
165	5585	28064
166	5618	28025
167	5650	27985
168	5685	27957
169	5720	27927
170	5754	27895
171	5786	27856
172	5820	27821
173	5852	27783
174	5885	27745
175	5918	27708
176	5951	27674
177	5982	27628
178	6015	27590
179	6047	27548
180	6083	27525
181	6116	27490
182	6150	27457
183	6181	27413
184	6212	27369
185	6247	27342
186	6279	27300
187	6313	27268
188	6350	27249
189	6382	27208
190	6414	27170
191	6447	27134
192	6487	27126
193	6521	27093
194	6554	27059
195	6588	27026
196	6621	26991
197	6654	26954
198	6687	26918
199	6719	26876
200	6752	26842
201	6784	26804
202	6817	26765
203	6852	26739
204	6886	26707
205	6922	26682
206	6958	26656
207	6992	26626
208	7030	26608
209	7061	26566
210	7095	26533
211	7130	26504
212	7163	26469
213	7197	26436
214	7233	26410
215	7270	26389
216	7305	26360
