title,artist,year,views,url
NFWMB,Hozier,2018,277394,https://genius.com/Hozier-NFWMB-lyrics
My Everything,Ariana Grande,2014,310383,https://genius.com/Ariana-Grande-My-Everything-lyrics
All You Need Is Love,The Beatles,1967,189224,https://genius.com/The-Beatles-All-You-Need-Is-Love-lyrics
Back Down,50 Cent,2003,255475,https://genius.com/50-Cent-Back-Down-lyrics
No Lie,Sean Paul,2016,365793,https://genius.com/Sean-Paul-No-Lie-lyrics
Luving U,6LACK,2016,441964,https://genius.com/6LACK-Luving-U-lyrics
No Scrubs,TLC,1999,228723,https://genius.com/TLC-No-Scrubs-lyrics
These Days,Rudimental,2018,601357,https://genius.com/Rudimental-These-Days-lyrics
Praise the Lord Da Shine,A$AP Rocky,2018,1695740,https://genius.com/AAP-Rocky-Praise-the-Lord-Da-Shine-lyrics
Paradise Extended,Big Sean,2014,825130,https://genius.com/Big-Sean-Paradise-Extended-lyrics
